Date,Team,Opposition,Ground,10-Runs,10-Wkts,50-Runs,50-Wkts,Result,Above-300
18-Nov-15,Hong Kong,v U.A.E.,ICCA Dubai,44,0,282,8,1,0
17-Nov-15,Pakistan,v England,Sharjah,43,0,208,10,0,0
16-Nov-15,Hong Kong,v U.A.E.,ICCA Dubai,52,0,298,4,1,0
13-Nov-15,England,v Pakistan,Abu Dhabi,51,0,283,5,1,0
11-Nov-15,England,v Pakistan,Abu Dhabi,46,3,216,10,0,0
11-Nov-15,Bangladesh,v Zimbabwe,Dhaka,47,0,276,9,1,0
9-Nov-15,Bangladesh,v Zimbabwe,Dhaka,46,1,241,9,1,0
7-Nov-15,West Indies,v Sri Lanka,Pallekele,47,4,206,9,0,0
7-Nov-15,Bangladesh,v Zimbabwe,Dhaka,39,2,273,9,1,0
4-Nov-15,West Indies,v Sri Lanka,Colombo (RPS),61,2,214,10,0,0
25-Oct-15,South Africa,v India,Mumbai,73,1,438,4,1,1
24-Oct-15,Afghanistan,v Zimbabwe,Bulawayo,57,1,245,9,1,0
22-Oct-15,India,v South Africa,Chennai,43,2,299,8,1,0
22-Oct-15,Zimbabwe,v Afghanistan,Bulawayo,28,2,184,8,0,0
20-Oct-15,Afghanistan,v Zimbabwe,Bulawayo,42,0,223,8,0,0
18-Oct-15,South Africa,v India,Rajkot,59,0,270,7,1,0
18-Oct-15,Afghanistan,v Zimbabwe,Bulawayo,54,1,271,6,1,0
16-Oct-15,Afghanistan,v Zimbabwe,Bulawayo,34,3,122,10,0,0
14-Oct-15,India,v South Africa,Indore,44,1,247,9,1,0
13-Oct-15,Zimbabwe,v Ireland,Harare,28,2,187,10,0,0
11-Oct-15,Ireland,v Zimbabwe,Harare,43,1,268,7,0,0
11-Oct-15,South Africa,v India,Kanpur,48,1,303,5,1,1
9-Oct-15,Ireland,v Zimbabwe,Harare,40,2,219,8,0,0
5-Oct-15,Zimbabwe,v Pakistan,Harare,47,0,161,10,0,0
3-Oct-15,Zimbabwe,v Pakistan,Harare,40,1,276,6,1,0
1-Oct-15,Pakistan,v Zimbabwe,Harare,35,3,259,6,1,0
13-Sep-15,England,v Australia,Manchester,40,3,138,10,0,0
11-Sep-15,Australia,v England,Leeds,39,3,299,7,0,0
8-Sep-15,England,v Australia,Manchester,57,1,300,8,1,1
5-Sep-15,Australia,v England,Lord's,46,1,309,7,1,1
3-Sep-15,Australia,v England,Southampton,54,0,305,6,1,1
27-Aug-15,Australia,v Ireland,Belfast,80,0,222,6,1,0
26-Aug-15,South Africa,v New Zealand,Durban,49,0,283,7,1,0
23-Aug-15,South Africa,v New Zealand,Potchefstroom,48,2,204,10,0,0
19-Aug-15,South Africa,v New Zealand,Centurion,47,1,304,7,1,1
7-Aug-15,New Zealand,v Zimbabwe,Harare,44,1,273,6,1,0
4-Aug-15,Zimbabwe,v New Zealand,Harare,41,1,235,9,0,0
2-Aug-15,New Zealand,v Zimbabwe,Harare,40,2,303,4,0,1
26-Jul-15,Sri Lanka,v Pakistan,Hambantota,64,0,368,4,1,1
22-Jul-15,Sri Lanka,v Pakistan,Colombo (RPS),48,1,256,9,0,0
19-Jul-15,Pakistan,v Sri Lanka,Colombo (RPS),55,0,316,4,1,1
15-Jul-15,Pakistan,v Sri Lanka,Pallekele,44,0,287,8,0,0
14-Jul-15,India,v Zimbabwe,Harare,36,2,276,5,1,0
12-Jul-15,South Africa,v Bangladesh,Dhaka,38,1,162,10,0,0
12-Jul-15,India,v Zimbabwe,Harare,39,0,271,8,1,0
11-Jul-15,Sri Lanka,v Pakistan,Dambulla,48,1,255,8,0,0
10-Jul-15,Bangladesh,v South Africa,Dhaka,42,4,160,10,0,0
10-Jul-15,India,v Zimbabwe,Harare,32,1,255,6,1,0
